Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Goals
24,11,19,7,20,14,20,42,7,5,5,4,9,12,22,55,1,0,0,1,0,0,0,2
10,11,14,18,20,13,12,31,5,3,3,7,17,26,44,33,1,0,0,1,0,0,0,4
2,11,19,15,20,13,13,28,5,3,4,6,13,18,20,20,1,1,0,0,0,0,0,1
2,11,19,20,20,13,5,28,5,1,2,10,4,19,34,17,1,1,0,0,0,0,0,0
23,11,19,6,20,14,24,31,5,7,3,4,17,13,27,55,1,1,0,0,0,0,0,0
9,11,19,11,20,13,18,28,5,4,6,3,15,11,31,24,1,1,0,0,0,0,0,3
9,11,19,6,20,13,23,28,5,7,2,4,17,13,59,17,1,1,0,0,0,0,0,2
30,11,19,2,20,15,31,34,8,9,4,2,28,15,71,31,1,1,0,0,0,0,0,2
23,11,19,8,20,14,22,31,5,7,1,6,19,20,44,7,1,1,0,0,0,0,0,0
23,11,19,17,20,14,14,31,5,4,2,8,11,17,27,18,1,1,0,0,0,0,0,1
23,11,19,18,20,14,13,31,5,3,4,7,13,20,31,55,1,1,0,0,0,0,0,0
9,11,19,13,20,13,15,28,5,4,3,6,13,22,30,20,1,1,0,0,0,0,0,2
9,11,19,10,20,13,19,28,5,5,4,4,14,12,51,42,1,1,0,0,0,0,0,3
30,11,19,8,20,15,23,34,8,7,2,6,19,20,44,22,1,1,0,0,0,0,0,1
9,12,16,2,20,16,30,44,9,9,3,4,24,14,51,15,1,0,0,0,1,0,0,1
1,12,16,4,20,15,27,42,8,8,3,4,23,14,37,9,1,0,0,1,0,0,0,2
22,12,21,1,20,16,44,44,8,14,2,0,49,10,73,29,1,0,0,1,0,0,0,1
4,12,20,2,20,15,29,43,8,8,5,2,24,11,47,31,1,0,0,0,0,1,0,0
2,12,20,12,20,14,17,42,8,4,5,5,14,15,50,40,1,0,0,0,1,0,0,2
22,12,21,2,20,18,34,44,8,10,4,4,28,17,58,13,1,0,0,1,0,0,0,1
22,12,21,19,20,17,13,44,8,3,4,10,16,27,27,27,1,0,0,1,0,0,0,0
16,12,21,4,20,16,28,44,8,8,4,4,26,20,59,22,1,0,0,0,1,0,0,3
22,12,21,14,20,16,18,44,8,4,6,6,19,21,22,37,1,0,0,1,0,0,0,1
1,12,19,20,20,15,8,42,8,1,5,9,10,30,0,51,1,0,0,1,0,0,0,0
5,12,18,11,20,15,18,43,8,4,6,5,16,17,59,26,1,0,0,0,0,0,1,3
5,12,18,13,20,15,17,43,8,4,5,6,21,22,39,24,1,0,0,0,0,0,1,3
22,12,21,1,20,17,47,47,11,15,2,0,50,10,81,22,1,0,0,1,0,0,0,1
22,12,21,4,20,16,29,44,8,8,5,3,24,12,52,39,1,0,0,1,0,0,0,1
21,12,20,6,20,18,31,41,12,8,7,3,17,10,42,42,1,1,0,0,0,0,0,1
21,12,20,7,20,18,31,41,12,9,4,5,20,15,42,30,1,1,0,0,0,0,0,1
22,12,15,3,20,18,32,41,13,9,5,4,26,14,61,25,1,0,0,1,0,0,0,1
21,12,20,8,20,18,29,41,12,9,2,7,26,18,55,13,1,1,0,0,0,0,0,0
4,12,20,4,20,16,28,35,9,8,4,4,24,13,66,37,1,0,0,0,0,1,0,2
21,12,20,12,20,18,22,41,12,5,7,6,14,20,30,49,1,1,0,0,0,0,0,0
15,12,15,10,20,17,25,38,12,6,7,4,20,14,39,46,1,0,0,1,0,0,0,0
4,12,20,18,20,16,14,35,9,4,2,10,12,22,37,15,1,0,0,0,0,1,0,2
2,12,13,1,12,12,34,34,2,11,1,0,49,3,59,26,1,0,0,0,1,0,0,7
12,5,20,2,20,38,80,93,26,24,8,6,85,45,68,12,1,0,0,1,0,0,0,1
19,5,20,16,20,38,38,93,26,10,8,20,27,52,14,55,1,0,0,1,0,0,0,0
6,5,19,4,20,38,77,93,26,22,11,5,80,47,46,19,1,0,0,0,1,0,0,2
11,5,18,12,20,38,47,93,26,12,11,15,48,59,19,33,1,1,0,0,0,0,0,3
11,5,18,3,20,38,68,88,23,20,8,10,62,43,37,30,1,1,0,0,0,0,0,2
