Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
26,10,18,3,16,12,22,23,9,6,4,2,19,15,68,17,0,1,0,0,0,0,0,0,1
26,10,18,9,10,35,27,86,18,7,6,22,24,71,14,27,0,1,0,0,0,0,0,0,1
26,10,18,20,20,11,4,27,4,1,1,9,3,17,42,8,0,1,0,0,0,0,0,0,1
26,10,18,5,18,9,14,27,4,4,2,3,10,9,37,0,0,1,0,0,0,0,0,0,1
25,10,15,8,16,6,9,18,2,2,3,1,8,4,55,27,0,0,0,0,0,1,0,0,1
24,10,18,15,24,13,18,26,9,4,6,3,20,15,39,63,0,0,0,0,0,0,0,1,3
22,10,22,11,12,14,14,35,14,3,5,6,14,20,33,22,0,0,1,0,0,0,0,0,1
21,10,22,18,20,30,31,62,17,7,10,13,29,45,13,55,0,0,0,0,1,0,0,0,0
21,10,16,1,16,26,54,54,19,16,6,4,44,21,63,24,0,0,0,0,1,0,0,0,0
21,10,12,6,12,8,14,22,3,4,2,2,18,8,49,25,0,0,0,0,1,0,0,0,4
21,10,11,9,12,31,31,72,18,8,7,16,26,34,22,33,0,0,0,0,1,0,0,0,0
21,10,10,13,18,8,9,27,3,2,3,3,15,16,22,33,0,0,0,0,1,0,0,0,2
21,10,11,8,18,9,14,20,5,4,2,3,16,10,31,47,0,0,0,0,1,0,0,0,0
20,10,17,11,14,6,6,16,4,1,3,2,5,10,37,0,0,0,0,1,0,0,0,0,0
19,10,16,5,10,10,14,24,2,3,5,2,15,11,85,13,0,1,0,0,0,0,0,0,2
19,10,1,16,23,32,38,66,20,9,11,12,47,51,37,52,0,1,0,0,0,0,0,0,1
19,10,18,14,20,10,11,24,4,3,2,5,14,20,30,40,0,1,0,0,0,0,0,0,0
19,10,18,15,20,10,10,24,4,3,1,6,7,10,25,25,0,1,0,0,0,0,0,0,2
19,10,16,13,18,9,10,19,5,3,1,5,10,13,33,22,0,1,0,0,0,0,0,0,1
