Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
11,11,14,2,20,11,27,29,5,8,3,0,27,8,60,20,1,0,0,0,1,0,0,0,0
4,11,16,3,20,10,24,27,3,7,3,0,24,7,69,14,1,0,0,0,1,0,0,0,3
10,11,17,14,20,11,8,29,5,2,2,7,8,16,60,20,1,0,0,1,0,0,0,0,0
11,11,12,3,20,11,27,29,5,8,3,0,21,5,96,14,1,0,0,0,1,0,0,0,2
4,11,15,2,20,10,26,27,3,8,2,0,27,3,88,11,1,0,0,0,1,0,0,0,6
25,11,16,11,20,12,16,35,7,4,4,4,12,13,37,37,1,0,0,0,1,0,0,0,0
24,11,15,13,20,12,12,32,5,3,3,6,14,18,30,30,1,0,0,1,0,0,0,0,0
3,11,19,10,20,10,15,26,3,4,3,3,9,9,31,31,1,0,0,1,0,0,0,0,2
25,11,13,7,20,13,21,35,7,6,3,4,21,16,51,17,1,0,0,0,1,0,0,0,1
24,11,17,4,20,12,27,32,5,9,0,3,20,10,61,0,1,0,0,1,0,0,0,0,3
3,11,17,4,20,10,22,26,3,7,1,2,24,13,80,0,1,0,0,1,0,0,0,0,1
10,11,15,10,20,11,16,29,5,5,1,5,17,16,61,13,1,0,0,1,0,0,0,0,0
3,11,12,6,20,10,20,26,3,6,2,2,19,12,61,13,1,0,0,1,0,0,0,0,1
10,11,15,16,20,11,7,29,5,1,4,6,7,20,47,31,1,0,0,1,0,0,0,0,1
3,11,15,17,20,10,5,26,3,1,2,7,9,23,0,25,1,0,0,1,0,0,0,0,0
3,11,15,13,20,10,8,26,3,2,2,6,9,15,22,33,1,0,0,1,0,0,0,0,4
10,11,12,19,20,11,5,29,5,1,2,8,9,24,13,25,1,0,0,1,0,0,0,0,2
27,11,19,3,24,18,33,36,11,9,6,3,31,17,42,30,1,0,0,0,0,0,1,0,1
27,11,19,16,24,18,21,36,11,5,6,7,30,31,37,51,1,0,0,0,0,0,1,0,1
23,11,19,24,24,17,11,33,11,1,8,8,14,28,15,44,1,1,0,0,0,0,0,0,1
30,11,20,19,20,13,8,35,8,2,2,9,11,26,14,14,1,1,0,0,0,0,0,0,2
27,11,19,18,24,18,20,36,11,5,5,8,22,32,41,35,1,0,0,0,0,0,1,0,1
10,11,15,8,24,17,26,31,13,6,8,3,22,18,48,20,1,0,0,1,0,0,0,0,3
4,11,13,16,24,15,20,30,10,6,2,7,18,22,27,27,1,0,0,0,1,0,0,0,1
3,11,15,23,24,16,13,30,10,3,4,9,12,21,18,27,1,0,0,1,0,0,0,0,1
14,11,19,4,4,3,3,9,3,1,0,2,2,4,14,41,1,0,0,0,0,0,0,1,4
10,11,15,9,24,17,26,31,13,6,8,3,19,20,46,46,1,0,0,1,0,0,0,0,1
28,11,19,21,24,18,17,37,11,4,5,9,23,30,33,39,1,0,0,0,0,0,0,1,0
28,11,19,18,24,18,21,37,11,6,3,9,19,26,42,42,1,0,0,0,0,0,0,1,3
13,11,19,2,4,2,5,6,2,1,1,0,3,2,55,24,1,0,0,0,0,0,1,0,2
3,11,15,6,24,15,25,29,9,7,4,4,22,16,59,15,1,0,0,1,0,0,0,0,3
28,11,19,24,24,18,11,37,11,1,8,9,15,30,15,37,1,0,0,0,0,0,0,1,2
24,11,15,23,24,18,16,36,11,4,4,10,16,26,39,39,1,0,0,1,0,0,0,0,0
23,11,19,9,24,18,28,38,11,8,4,6,20,19,41,27,1,1,0,0,0,0,0,0,1
13,11,19,7,22,16,27,31,7,8,3,5,20,21,68,8,1,0,0,0,0,0,1,0,3
13,11,19,2,4,3,6,6,0,2,0,1,5,1,44,22,1,0,0,0,0,0,1,0,2
13,11,19,3,4,2,3,7,1,1,0,1,3,3,14,55,1,0,0,0,0,0,1,0,3
13,11,19,3,4,3,3,8,0,1,0,2,5,8,0,22,1,0,0,0,0,0,1,0,1
3,11,15,16,24,15,19,29,9,5,4,6,21,26,44,15,1,0,0,1,0,0,0,0,0
27,11,19,12,24,20,27,44,14,7,6,7,28,21,42,30,1,0,0,0,0,0,1,0,3
27,11,19,19,24,20,21,44,14,5,6,9,25,31,29,35,1,0,0,0,0,0,1,0,4
27,11,19,18,24,18,22,38,11,5,7,6,23,19,33,33,1,0,0,0,0,0,1,0,0
27,11,19,3,24,20,33,38,11,9,6,5,28,31,58,35,1,0,0,0,0,0,1,0,3
10,11,15,11,24,17,24,31,13,7,3,7,16,21,51,7,1,0,0,1,0,0,0,0,3
23,12,17,11,20,17,24,48,10,6,6,5,24,22,35,41,1,0,0,0,1,0,0,0,2
4,12,20,10,20,14,20,38,8,6,2,6,17,19,33,22,1,0,0,0,0,0,1,0,1
15,12,16,3,20,16,36,42,9,12,0,4,30,16,90,0,1,0,0,1,0,0,0,0,1
15,12,13,2,20,16,41,42,9,13,2,1,45,9,84,17,1,0,0,1,0,0,0,0,3
8,12,17,4,20,15,31,41,9,9,4,2,31,13,59,26,1,0,0,1,0,0,0,0,2
26,12,16,9,20,18,25,48,10,7,4,7,22,21,49,18,1,0,0,0,0,0,0,1,2
5,12,19,19,20,14,9,41,8,2,3,9,13,29,8,39,1,0,0,0,0,0,0,1,1
26,12,16,3,20,18,42,48,10,14,0,4,37,18,84,0,1,0,0,0,0,0,0,1,5
5,12,20,5,20,14,30,41,8,10,0,4,25,15,70,11,1,0,0,0,0,0,0,1,3
5,12,20,8,20,14,22,41,8,6,4,4,22,23,59,26,1,0,0,0,0,0,0,1,2
30,12,17,6,20,19,32,54,10,9,5,5,37,31,49,30,1,0,0,0,1,0,0,0,4
26,12,16,1,20,18,48,48,10,15,3,0,39,7,97,6,1,0,0,0,0,0,0,1,4
22,12,16,4,20,17,37,48,9,11,4,2,35,14,62,20,1,0,0,1,0,0,0,0,0
16,12,14,19,20,16,9,44,9,1,6,9,13,30,15,37,1,0,0,0,1,0,0,0,3
26,12,20,7,20,18,27,48,10,8,3,7,25,25,55,18,1,0,0,0,0,0,0,1,1
27,12,20,16,20,18,15,51,10,3,6,9,19,33,37,25,1,0,0,0,0,1,0,0,1
