Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
22,9,19,6,11,20,5,5,8,7,15,0,2,2,1,2,1,2,5,4,4,7,34,34,59,42,1.83,0.33,0,0,1,0,0,0,Home
22,9,19,16,18,20,5,5,5,4,15,0,1,2,2,1,1,3,6,7,7,8,18,27,27,37,2.66,1.5,0,0,1,0,0,0,Home
28,9,19,4,12,20,8,8,16,10,21,3,5,1,2,2,4,2,12,6,7,6,82,46,9,46,3.83,1.33,1,0,0,0,0,0,Home
22,9,19,13,4,20,5,5,6,10,15,0,2,0,3,3,1,1,8,6,9,7,34,26,34,34,2.5,1.0,0,0,1,0,0,0,Draw
15,9,14,5,11,20,5,6,12,9,18,0,4,0,1,3,0,3,8,6,2,5,49,30,30,13,1.83,0.33,0,0,1,0,0,0,Home
28,9,19,8,11,20,8,8,12,11,21,3,3,3,2,3,2,3,11,10,7,12,47,16,39,16,4.16,1.66,1,0,0,0,0,0,Draw
28,9,19,18,10,20,8,8,6,11,21,3,1,3,4,3,2,3,4,12,9,14,20,80,50,11,2.66,1.16,1,0,0,0,0,0,Home
21,9,19,16,18,20,7,7,6,5,21,0,2,0,5,1,2,4,7,4,11,9,46,73,9,9,1.66,0.83,1,0,0,0,0,0,Draw
14,9,19,20,8,20,6,6,0,9,18,0,0,0,6,2,3,1,0,5,10,3,31,63,16,16,3.0,1.16,1,0,0,0,0,0,Away
28,9,19,20,14,20,8,8,3,9,21,3,1,0,7,3,0,5,1,6,11,8,26,26,17,8,2.0,1.16,1,0,0,0,0,0,Draw
14,9,19,7,5,20,6,6,10,11,18,0,3,1,2,3,2,1,6,9,5,7,22,51,7,37,2.5,1.0,1,0,0,0,0,0,Home
