Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Result
6,5,14,2,11,20,38,38,79,49,93,20,23,10,5,12,13,13,58,36,22,42,61,42,42,18,1.16,0.5,0,0,0,1,0,0,0,Away
5,5,14,16,6,20,38,38,43,60,93,20,10,13,15,18,6,14,41,60,49,61,18,42,55,25,2.66,1.16,0,0,1,0,0,0,0,Home
2,6,19,12,18,22,42,42,55,48,76,32,15,10,17,12,12,18,39,38,48,45,38,27,38,38,2.5,0.5,0,0,1,0,0,0,0,Draw
19,5,12,13,15,20,38,38,49,46,93,20,13,10,15,11,13,14,59,44,60,58,42,13,17,15,2.66,1.0,0,0,1,0,0,0,0,Home
13,5,19,15,1,20,38,38,46,93,93,20,11,13,14,28,9,1,44,99,58,29,37,73,30,25,4.33,1.66,0,0,0,1,0,0,0,Home
12,5,17,6,7,20,38,38,60,58,93,20,18,6,14,17,7,14,60,49,61,58,61,37,37,30,3.33,1.33,0,0,1,0,0,0,0,Draw
5,5,18,5,4,20,38,38,61,73,93,20,18,7,13,22,7,9,57,65,50,38,68,55,8,14,1.66,1.0,0,0,1,0,0,0,0,Home
27,5,19,3,5,22,42,42,71,67,76,32,20,11,11,19,10,13,57,69,44,55,49,38,16,-11,2.5,1.83,0,0,0,1,0,0,0,Home
5,5,16,3,4,22,42,42,71,71,76,32,20,11,11,21,8,13,57,60,44,40,27,38,44,38,2.83,1.16,0,0,1,0,0,0,0,Home
18,8,17,19,11,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,42,37,13,2.66,1.83,0,0,1,0,0,0,0,Draw
20,8,19,14,12,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,61,61,16,9,2.16,0.83,0,1,0,0,0,0,0,Draw
19,8,21,15,11,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,55,42,13,42,5.16,2.5,0,0,0,1,0,0,0,Home
18,8,19,9,17,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,42,18,8,3.16,2.5,0,0,1,0,0,0,0,Away
31,8,21,19,6,20,2,2,0,4,6,0,0,0,2,1,1,0,1,4,4,3,25,37,42,30,2.66,1.33,1,0,0,0,0,0,0,Home
24,8,19,17,16,20,1,1,0,0,3,0,0,0,1,0,0,1,0,1,2,2,30,37,42,42,2.0,1.33,1,0,0,0,0,0,0,Home
18,8,21,3,21,22,1,1,3,0,3,0,1,0,0,0,0,1,1,0,0,1,22,33,38,33,2.33,1.83,0,0,1,0,0,0,0,Draw
15,9,12,10,15,20,3,3,4,3,9,1,1,1,1,1,0,2,2,3,3,5,68,30,37,37,2.5,0.83,0,0,1,0,0,0,0,Draw
22,9,19,2,5,20,5,5,11,8,12,1,3,2,0,2,2,1,11,5,3,3,71,39,39,47,3.16,1.83,0,0,1,0,0,0,0,Home
15,9,15,4,1,20,4,4,7,9,9,1,2,1,1,3,0,1,6,12,5,3,37,73,30,25,3.66,1.66,0,0,1,0,0,0,0,Away
26,9,21,9,2,20,5,5,7,13,13,1,2,1,2,4,1,0,10,12,6,3,39,71,33,33,4.5,2.16,0,0,0,0,0,0,1,Home
15,9,19,4,2,20,3,4,5,10,12,1,1,2,0,3,1,0,4,10,3,2,18,61,55,6,2.83,1.5,0,0,1,0,0,0,0,Draw
29,9,15,1,15,20,6,5,13,6,13,4,4,1,1,1,3,1,17,7,7,9,80,18,18,55,2.5,1.5,0,0,1,0,0,0,0,Draw
1,9,19,1,15,20,2,2,6,1,6,0,2,0,0,0,1,1,6,3,1,4,55,30,13,42,3.33,2.16,0,0,1,0,0,0,0,Home
16,9,19,8,10,20,3,3,4,4,12,1,1,1,1,1,1,1,4,2,2,2,61,37,37,42,2.5,0.66,0,0,0,1,0,0,0,Away
1,9,17,7,8,20,2,2,4,4,6,0,1,1,0,1,1,0,3,2,2,1,68,25,42,42,3.33,1.0,0,0,1,0,0,0,0,Home
30,9,18,9,20,20,6,6,9,4,14,4,2,3,1,1,1,4,4,6,5,11,55,18,27,18,3.5,1.5,0,0,0,1,0,0,0,Home
24,9,20,10,4,22,5,5,8,11,15,3,2,2,1,3,2,0,5,9,4,2,73,73,0,0,2.0,1.0,0,1,0,0,0,0,0,Home
23,9,15,15,17,20,4,4,4,3,13,1,1,1,2,0,3,1,2,3,3,5,66,37,22,15,1.83,1.0,0,0,0,1,0,0,0,Draw
15,9,17,17,14,20,3,3,2,4,9,1,0,2,1,1,1,1,3,1,5,3,55,68,18,18,2.83,0.66,0,0,1,0,0,0,0,Draw
29,9,17,13,6,20,6,6,7,10,13,4,2,1,3,3,1,2,5,13,7,6,29,37,29,29,2.66,1.33,0,0,1,0,0,0,0,Away
26,9,21,15,7,20,6,6,5,9,13,3,0,5,1,2,3,1,4,11,6,9,26,59,42,26,3.33,1.16,0,0,0,0,0,0,1,Draw
26,9,19,14,7,20,5,6,6,8,13,3,1,3,1,2,2,2,7,5,9,3,51,17,26,34,2.33,0.66,0,0,0,0,0,0,1,Away
28,9,20,17,5,20,6,7,5,11,13,4,1,2,3,3,2,2,7,8,14,6,11,22,33,22,2.66,0.0,1,0,0,0,0,0,0,Draw
27,9,19,14,17,20,6,6,6,4,13,4,1,3,2,1,1,4,5,9,6,13,0,44,66,22,3.16,1.5,0,0,0,0,1,0,0,Home
23,9,11,13,14,20,4,4,4,4,12,2,1,1,2,1,1,2,6,4,5,4,59,51,15,15,2.33,1.16,0,0,0,1,0,0,0,Away
2,9,19,18,4,20,2,2,1,4,9,0,0,1,1,1,1,0,0,4,3,1,68,49,15,9,3.66,1.33,0,0,0,1,0,0,0,Home
23,9,19,12,11,20,4,3,5,5,13,1,1,2,1,1,2,0,1,5,3,4,24,63,24,24,2.66,1.0,0,0,0,1,0,0,0,Draw
2,9,11,12,16,20,2,2,3,1,9,0,1,0,1,0,1,1,4,1,2,3,55,49,13,18,2.66,1.0,0,0,0,1,0,0,0,Draw
28,9,20,1,10,22,7,7,15,8,15,3,4,3,0,2,2,3,13,9,6,8,19,78,58,13,3.0,1.83,1,0,0,0,0,0,0,Draw
16,9,15,9,7,20,3,3,4,4,12,1,1,1,1,1,1,1,4,6,3,4,48,41,20,35,2.16,1.33,0,0,0,1,0,0,0,Home
29,9,12,10,16,20,6,6,8,5,13,4,2,2,2,0,5,1,9,4,9,6,63,55,24,16,3.5,1.33,0,0,1,0,0,0,0,Away
25,9,19,8,11,20,5,5,7,7,13,1,2,1,2,2,1,2,5,5,4,6,31,24,55,31,3.66,1.83,0,0,0,0,0,1,0,Home
1,9,18,5,4,22,3,3,5,5,7,0,1,2,0,1,2,0,2,5,1,3,47,24,37,9,2.0,0.66,0,0,1,0,0,0,0,Draw
29,9,19,13,17,22,7,7,7,6,15,3,1,4,2,1,3,3,6,4,7,7,26,42,51,34,1.66,0.5,0,0,1,0,0,0,0,Home
