Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
25,8,14,17,11,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,7,20,27,3.33,1.5,0,0,1,0,0,0,Draw
25,8,14,14,7,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,35,48,41,20,2.0,1.0,0,0,1,0,0,0,Away
6,8,19,11,10,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,35,27,27,1.5,0.5,0,1,0,0,0,0,Home
5,8,14,7,9,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,35,69,27,2.33,0.5,0,0,0,1,0,0,Home
24,8,17,10,18,18,2,2,3,0,6,0,1,0,1,0,0,2,2,1,2,6,35,14,41,41,3.0,1.5,1,0,0,0,0,0,Home
31,8,17,10,5,18,3,3,4,6,7,0,1,1,1,2,0,1,4,3,3,2,41,41,35,41,3.66,1.5,1,0,0,0,0,0,Draw
26,8,12,12,6,18,2,2,3,4,7,0,1,0,1,1,1,0,2,4,3,1,35,48,48,35,2.33,1.16,0,0,0,1,0,0,Draw
8,8,18,13,14,20,2,2,3,3,6,0,1,0,1,1,0,1,2,2,3,3,37,49,37,18,2.16,0.83,0,0,0,0,0,1,Home
11,8,14,11,7,18,1,1,1,3,6,0,0,1,0,1,0,0,1,1,1,0,41,20,27,41,2.5,0.5,0,0,1,0,0,0,Home
22,9,17,17,1,18,4,4,0,12,12,0,0,0,4,4,0,0,2,11,8,2,66,95,17,19,2.66,1.66,0,0,1,0,0,0,Away
15,9,14,2,16,18,2,2,6,0,7,0,2,0,0,0,0,2,6,1,1,5,90,62,13,13,3.16,1.33,0,0,1,0,0,0,Home
1,9,17,15,7,18,1,1,0,3,6,0,0,0,1,1,0,0,0,3,1,1,62,96,11,12,3.0,1.66,0,0,1,0,0,0,Away
29,9,17,11,3,18,5,5,6,11,13,0,2,0,3,3,2,0,5,15,9,3,60,50,20,30,3.33,1.0,0,0,1,0,0,0,Away
2,9,17,13,9,18,1,1,0,3,6,0,0,0,1,1,0,0,1,1,2,0,35,35,41,20,2.0,0.66,0,0,0,1,0,0,Away
22,9,14,11,2,18,3,3,3,7,9,0,1,0,2,2,1,0,5,7,6,2,60,60,20,20,3.33,1.33,0,0,1,0,0,0,Draw
1,9,14,15,17,18,1,1,0,0,3,0,0,0,1,0,0,1,1,0,3,2,35,35,48,41,3.33,1.5,0,0,1,0,0,0,Home
29,9,14,18,7,18,5,5,0,8,13,0,0,0,5,2,2,1,2,4,9,3,30,70,40,20,2.16,0.83,0,0,1,0,0,0,Home
23,9,14,17,5,18,3,3,0,7,12,0,0,0,3,2,1,0,2,4,8,2,37,55,37,9,3.0,1.5,0,0,0,1,0,0,Home
30,9,13,16,18,18,5,5,4,2,14,2,1,1,3,0,2,3,6,4,9,9,30,30,11,20,2.5,0.83,0,0,0,1,0,0,Home
1,9,14,16,6,18,1,1,0,3,3,0,0,0,1,1,0,0,0,2,2,1,20,55,19,19,3.66,1.33,0,0,1,0,0,0,Away
29,9,14,17,4,18,5,5,2,11,13,0,0,2,3,3,2,0,3,10,9,6,60,50,30,40,3.33,1.5,0,0,1,0,0,0,Home
25,9,19,1,11,18,4,4,12,4,12,0,4,0,0,1,1,2,11,6,2,7,80,11,11,50,4.33,2.0,0,0,0,0,1,0,Draw
30,9,16,13,11,18,5,5,5,7,14,2,1,2,2,2,1,2,7,8,8,9,11,22,22,33,3.0,1.0,0,0,0,1,0,0,Home
22,9,14,9,7,18,3,3,4,5,9,0,1,1,1,1,2,0,4,4,4,3,40,30,30,40,3.5,1.33,0,0,1,0,0,0,Away
1,9,14,4,10,18,1,1,3,1,3,0,1,0,0,0,1,0,2,1,0,1,55,35,20,27,2.83,1.33,0,0,1,0,0,0,Away
25,9,19,14,18,18,4,4,4,0,12,0,1,1,2,0,0,4,7,2,9,8,55,22,22,22,1.5,0.5,0,0,0,0,1,0,Home
26,9,19,7,6,18,5,5,8,8,13,0,2,2,1,2,2,1,4,8,3,7,20,30,20,30,1.33,0.66,0,0,0,0,0,1,Draw
25,9,19,16,9,18,5,5,2,7,13,0,0,2,3,2,1,2,4,9,9,8,13,49,25,37,2.5,1.16,0,0,0,0,1,0,Away
22,9,14,14,13,18,3,3,2,2,9,0,0,2,1,0,2,1,2,3,3,4,110,0,0,55,3.33,1.5,0,0,1,0,0,0,Home
14,9,17,3,18,18,4,4,8,0,10,0,2,2,0,0,0,4,6,0,2,7,39,31,31,24,2.66,0.5,1,0,0,0,0,0,Draw
30,9,11,4,10,18,7,7,13,12,19,2,4,1,2,4,0,3,10,12,10,14,33,58,33,19,3.16,1.16,0,0,0,1,0,0,Draw
29,9,14,6,5,18,5,5,8,10,13,0,2,2,1,3,1,1,8,10,7,7,22,11,55,33,2.66,1.66,0,0,1,0,0,0,Draw
29,9,14,14,13,18,5,5,5,5,13,0,1,2,2,1,2,2,4,5,10,6,55,33,22,55,3.66,1.83,0,0,1,0,0,0,Home
25,9,17,1,15,18,6,6,13,5,13,1,4,1,1,1,2,3,16,6,10,13,82,0,0,27,2.33,1.33,0,0,0,0,1,0,Home
2,9,12,17,3,18,3,3,0,7,8,0,0,0,3,2,1,0,1,6,7,2,14,48,35,62,2.66,1.0,0,0,0,1,0,0,Draw
25,9,17,7,3,18,7,7,11,12,16,2,3,2,2,4,0,3,13,10,7,7,34,59,26,34,3.5,1.66,0,0,0,0,1,0,Away
24,9,19,3,9,18,10,10,18,14,22,8,5,3,2,4,2,4,15,11,9,11,55,27,27,41,3.66,1.33,0,1,0,0,0,0,Home
15,9,13,2,8,18,7,7,14,10,16,4,4,2,1,2,4,1,13,8,7,7,71,55,39,16,3.16,1.33,0,0,1,0,0,0,Home
14,9,17,13,14,18,4,3,4,3,10,0,1,1,2,1,0,2,5,3,8,5,44,37,29,15,2.5,0.83,1,0,0,0,0,0,Away
3,9,18,14,17,20,5,5,6,4,14,3,1,3,1,1,1,3,5,5,4,9,14,35,48,27,2.33,1.33,0,1,0,0,0,0,Draw
2,9,11,1,9,18,7,8,21,11,21,4,7,0,0,3,2,3,18,12,3,12,88,37,15,37,3.83,1.5,0,0,0,1,0,0,Draw
