Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Result
21,1,20,1,20,20,19,19,53,8,53,8,17,2,0,1,8,10,38,14,11,35,95,7,15,51,3.16,1.0,0,1,0,0,0,0,0,Home
20,1,20,2,5,20,19,19,44,32,53,8,14,2,3,9,5,5,37,28,17,21,80,55,13,30,3.33,1.33,0,0,0,1,0,0,0,Home
19,1,20,3,12,20,19,19,39,25,53,8,12,3,4,6,7,6,31,30,14,32,73,30,18,42,2.16,1.33,0,0,1,0,0,0,0,Draw
19,1,15,6,9,20,19,19,30,27,53,8,8,6,5,6,9,4,34,24,24,19,42,37,37,55,2.83,0.66,0,0,1,0,0,0,0,Home
26,1,20,4,2,20,20,20,34,47,56,8,9,7,4,15,2,3,28,39,20,18,49,80,42,13,3.16,1.5,0,0,1,0,0,0,0,Draw
21,1,15,14,7,20,19,19,20,31,53,8,5,5,9,8,7,4,25,26,35,20,30,42,30,42,1.83,0.66,0,1,0,0,0,0,0,Away
26,1,18,8,15,20,20,20,30,18,56,8,8,6,6,4,6,10,35,17,26,25,49,18,30,37,2.0,0.66,0,0,1,0,0,0,0,Home
26,1,15,12,13,20,20,20,26,21,56,8,6,8,6,4,9,7,30,19,32,27,37,25,37,42,3.5,1.66,0,0,1,0,0,0,0,Home
20,1,15,11,7,20,19,19,26,29,53,8,6,8,5,8,5,6,25,32,18,23,49,37,25,42,3.33,1.33,0,0,0,1,0,0,0,Draw
19,1,18,10,2,19,18,18,26,32,37,12,7,5,6,8,8,2,25,35,26,24,37,49,25,42,3.0,1.16,0,0,1,0,0,0,0,Away
19,1,15,4,6,19,18,18,30,29,37,12,8,6,4,8,5,5,30,27,23,21,52,52,33,26,3.0,1.16,0,0,1,0,0,0,0,Draw
